구분,브랜드,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
실판매출(V+),MLB,550307.178,398304.495,458582.676,331432.640,281225.490,289511.355,379338.319,603553.356,576308.612,538217.059,338922.082,430647.758,
실판매출(V+),MLB KIDS,30785.689,14076.672,19841.604,17713.870,12547.793,9793.370,15996.142,23036.653,25784.219,26160.483,12132.763,19450.515,
실판매출(V+),DISCOVERY,3722.544,2615.026,1219.997,4555.450,1045.494,3135.047,2918.192,9632.184,10588.785,10814.487,693.832,5155.695,
실판매출(V+),DUVETICA,3096.663,1589.151,680.034,-467.161,447.825,452.431,376.995,215.901,112.032,823.405,1909.220,1095.655,
실판매출(V+),SUPRA,1642.761,-176.309,312.189,-1059.969,418.033,288.254,257.346,-403.178,261.241,274.882,678.546,170.503,
리테일매출,MLB,1103377.057,534169.507,663832.549,649877.480,719632.361,552104.329,521452.172,588424.885,551628.228,894867.988,804211.751,792602.130,
리테일매출,MLB KIDS,66666.619,20261.132,33159.432,31702.492,35207.541,22754.356,22542.638,31192.417,25908.394,44511.461,32696.515,34397.481,
리테일매출,DISCOVERY,2490.967,2177.011,1977.044,2134.277,2982.529,2787.183,2983.712,7020.646,5366.055,9356.392,6689.754,9299.193,
리테일매출,DUVETICA,3421.253,1722.310,1131.760,1515.722,836.516,449.949,395.539,219.743,112.540,824.528,1911.111,1097.287,
리테일매출,SUPRA,1834.488,818.779,324.785,469.241,418.742,287.729,483.454,573.012,261.333,275.097,682.640,170.751,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
