대분류,중분류,소분류,합계
영업활동,매출수금,MLB,"5,336,549,835.00"
영업활동,매출수금,MLB KIDS,"192,174,228.00"
영업활동,매출수금,DISCOVERY,"97,358,278.00"
영업활동,매출수금,DUVETICA,"1,492,927.97"
영업활동,매출수금,SUPRA,"8,362,893.20"
영업활동,물품대,본사,"-2,334,895,452.00"
영업활동,물품대,현지,"-277,294,710.00"
영업활동,본사선급금,,"-700,000,000.00"
영업활동,비용,광고비,"-258,058,871.00"
영업활동,비용,온라인 플랫폼비용,"-280,987,907.00"
영업활동,비용,오프라인 매장비용,"-261,579,184.00"
영업활동,비용,수입관세,"-364,310,381.00"
영업활동,비용,인건비,"-142,786,408.00"
영업활동,비용,보증금지급,"-3,250,000.00"
영업활동,비용,기타,"-206,780,631.00"
자산성지출,인테리어/VMD,,"-31,973,829.00"
자산성지출,비품취득,,"-7,144,393.00"
기타수익,,,"88,120,697.00"
차입금,,,-859685077.6
