level1,level2,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
리테일매출,대리상,,,,,,,,,,,,
리테일매출,직영,,,,,,,,,,,,
Tag매출,대리상(의류),,,,0,33962.0695,0,0,28000,0,20000.00007,0,31665.56991
Tag매출,대리상(ACC),,,,,,,,,,,,
Tag매출,직영,,,,,,,,,,,,
실판매출,대리상(의류),,,,0,1953.57037,0,0,1610.619469,0,1150.442482,0,1821.470835
실판매출,대리상(ACC),,,,,,,,,,,,
실판매출,직영,,,,,,,,,,,,
매출원가,,,,,0,11003.74844,0,0,9075.198555,0,6633.019571,0,10626.9301
평가감,,,,,0,-11003.74844,0,0,-9075.198555,0,-6633.019571,0,-10626.9301
급여(매장),,,,,0,0,0,0,0,0,0,0,0
복리후생비(매장),,,,,0,0,0,0,0,0,0,0,0
플랫폼수수료,,,,,0,0,0,0,0,0,0,0,0
TP수수료,,,,,0,0,0,0,0,0,0,0,0
직접광고비,,,,,0,0,0,0,0,0,0,0,0
대리상지원금,,,,,0,0,0,0,0,0,0,0,0
물류비,,,,,85.80552975,6.74360236,63.26996407,0,0,0,0,0,0
매장임차료,,,,,0,0,0,0,0,0,0,0,0
감가상각비,,,,,0,0,0,0,0,0,0,0,0
기타(직접비),,,,,0,0,0,0,0,0,0,0,0
급여(사무실),,,,,,,,,,,,,
복리후생비(사무실),,,,,,,,,,,,,
광고비,,,,,,,,,,,,,
수주회,,,,,,,,,,,,,
지급수수료,,,,,,,,,,,,,
임차료,,,,,,,,,,,,,
감가상각비(영업비),,,,,,,,,,,,,
세금과공과,,,,,,,,,,,,,
기타(영업비),,,,,,,,,,,,,
,,,,,,,,,,,,,
,영업이익,,,,,,,,,,,,
