level1,level2,MLB,MLB KIDS,DISCOVERY
Tag매출,대리상(의류),"567,157","20,621",-321
Tag매출,대리상(ACC),"293,746","5,597","-1,550"
Tag매출,직영,"111,825","11,090","1,704"
실판매출,대리상(의류),"210,802","7,664",-213
실판매출,대리상(ACC),"122,178","2,080",-617
실판매출,직영,"78,857","7,083","1,325"
매출원가,,"294,508","11,547",-160
평가감,,"16,398",769.689,"5,493"
급여(매장),,"1,899",412.1607,169.36522
복리후생비(매장),,"1,592",381.15454,87.0505
플랫폼수수료,,"4,751",394.90981,60.05193
TP수수료,,"4,762",257.2231,177.38049
직접광고비,,7905.90201,638.12125,268.68774
대리상지원금,,"11,507",1160.77704,26.40832
물류비,,"8,715",666.08834,378.231
매장임차료,,"7,704","1,688",641.64433
감가상각비,,622.85844,170.76852,82.61681
기타(직접비),,3786.0538,150.38278,70.46546
급여(사무실),,"3,994",36.38444,470
복리후생비(사무실),,"2,104",204.8754,370.73277
광고비,,"11,931",1913.12263,"2,995"
수주회,,0,0,300
지급수수료,,"1,710",36.9,89.25
임차료,,1916.78912,0,0
감가상각비(영업비),,375.89008,3.12474,5.90074
세금과공과,,1820.5205,0,0
기타(영업비),,301.13084,23.17615,20.58188
