level1,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
급여(매장),,,-0.04267226,0.093630555,0.08901155,0.017982006,0.012212442,0.022207082,0.007815519,0.015607222,0.011153553
복리후생비(매장),,,-0.023013112,0.0422304,0.040748897,0.012389018,0.007164074,0.011368431,0.004076132,0.009155523,0.006920317
플랫폼수수료,,,-0.036106946,0.057394034,0.058434712,0.005862645,0.012418968,0.026687383,0.016143014,0.060626774,0.032264992
TP수수료,,,-0.106949897,0.194996974,0.161244107,0.026645083,0.032152697,0.056465564,0.022668168,0.100063483,0.031501158
직접광고비,,,-0.063425526,0.265300078,0.15718437,0.013573404,0.062978286,0.066737589,0.087241792,0.061366733,0.05172555
대리상지원금,,,-1055406.081,-150981.8118,-20412.23513,1785991.017,2145394.005,1200320.298,4104838.791,1399678.052,3122423.132
물류비,,,-0.093956548,0.108334695,0.060028738,0.050340995,0.041904,0.048201862,0.056165783,0.055895807,0.055568985
매장임차료,,,-0.000866042,0.008129865,0.00578943,0.001889238,0.002823304,0.002687507,0.003217248,0.002979037,0.002947654
감가상각비,,,63125.705,63125.705,99038.205,99038.205,99038.205,99038.205,99038.205,99038.205,141538.205
기타(직접비),,,161112.2049,50294.56778,263965.4716,112846.9234,58963.4518,185259.3294,202480.8217,250118.3232,256732.4825
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,웬지 직접비율,,,,,,,,,
,,,,,,,,,,,
,,대리상지원금,-1055.406081,-150.9818118,-20.41223513,1785.991017,2145.394005,1200.320298,4104.838791,1399.678052,3122.423132
,,감가,63.125705,63.125705,99.038205,99.038205,99.038205,99.038205,99.038205,99.038205,141.538205
,,기타,161.1122049,50.29456778,263.9654716,112.8469234,58.9634518,185.2593294,202.4808217,250.1183232,256.7324825
,,,,,,,,,,,
,,,,,,,,,,,
,,Store Payroll,-0.04267226,0.093630555,0.08901155,0.017982006,0.012212442,0.022207082,0.007815519,0.015607222,0.011153553
,,Store Staff Benefits,-0.023013112,0.0422304,0.040748897,0.012389018,0.007164074,0.011368431,0.004076132,0.009155523,0.006920317
,,Platform Commission,-0.036106946,0.057394034,0.058434712,0.005862645,0.012418968,0.026687383,0.016143014,0.060626774,0.032264992
,,T P commission,-0.106949897,0.194996974,0.161244107,0.026645083,0.032152697,0.056465564,0.022668168,0.100063483,0.031501158
,,Service Fee,-0.00382873,0.020840282,0.032344548,0.00124494,0.000769519,0.005027025,0.003182924,0.004499951,0.001978689
,,Advertisement-Direct,-0.063425526,0.265300078,0.15718437,0.013573404,0.062978286,0.066737589,0.087241792,0.061366733,0.05172555
,,Franchiser Rebate,0.334514092,-0.096460626,-0.008838875,0.182351013,0.14876485,0.132078125,0.134498351,0.124035075,0.136690553
,,Logistic Expense,-0.093956548,0.108334695,0.060028738,0.050340995,0.041904,0.048201862,0.056165783,0.055895807,0.055568985
,,Package,-0.000866042,0.008129865,0.00578943,0.001889238,0.002823304,0.002687507,0.003217248,0.002979037,0.002947654
,,Store Rental,-0.165671859,0.340664106,0.359131605,0.084679071,0.057509612,0.091260096,0.027174905,0.074028179,0.041078368
,,Store D&A,-0.02000788,0.040330321,0.042885375,0.010111874,0.006867458,0.010897742,0.003245067,0.008776455,0.006196129
,,VMD,-0.045371818,0.00115,0.067832348,0.007902598,0.00016642,0.012147945,7.86379E-05,0.014264783,0.005395525
,,Others,-0.000998402,0.0020125,0.008335606,0.000484979,0.000329372,0.00052267,0.000155638,0.00042093,0.00091713
