,,대리상 명칭, 외상매출금 , 선수금 
8000015,上海凌博商贸有限公司,"Shanghai Lingbo Trading Co., Ltd.",146998624.1,48804371
8000003,常春藤(广州)投资有限公司,"Ivy (Guangzhou) Investment Co., Ltd.",53189430.65,14496383.31
8000030,哈尔滨麟嘉商贸有限公司,"Harbin Linjia Trading Co., Ltd.",65400538.84,20192021
8000007,杭州宇振商业有限公司,"Hangzhou Yuzhen Commercial Co., Ltd.",45516559.05,29630102
8000183,北京鑫聚盛业服装服饰有限公司,"Beijing Xinjushengye Apparel Co., Ltd.",36755912.25,16706966.73
8000028,河南金安芯商贸有限公司,"Henan Jin’anxin Trading Co., Ltd.",23661832.62,11106543.29
8000009,成都市宝康服饰商贸有限公司,"Chengdu Baokang Apparel Trading Co., Ltd.",23008706.49,15974301.26
8000027,沈阳固孚固贸易有限公司,"Shenyang Gufugu Trading Co., Ltd.",28797370.79,12793995.04
8000413,山东德峻丰品牌管理有限公司,"Shandong Dejunfeng Brand Management Co., Ltd.",32911689.68,17846656.05
8000023,山西凌皓国际贸易有限公司,"Shanxi Linghao International Trading Co., Ltd.",10251816.76,10102230.17
8000017,沈阳瑞元禾商贸有限公司,"Shenyang Ruiyuanhe Trading Co., Ltd.",22153084.75,6432771.06
8000011,江西朝明潮贸易有限公司,"Jiangxi Chaoming Trend Trading Co., Ltd.",14816289.06,5746133.33
8000001,深圳市普洛狮贸易有限公司,"Shenzhen Puluoshi Trading Co., Ltd.",21151079.89,8352043.64
8000060,江苏骏溪网络科技有限公司,"Jiangsu Junxi Network Technology Co., Ltd.",17531846.29,17627810.37
8000180,内蒙古旭雅商贸有限公司,"Inner Mongolia Xuya Trading Co., Ltd.",14970060.56,6665004.78
8000181,长沙市珀御商贸有限公司,"Changsha Poyu Trading Co., Ltd.",18190430.2,11388003.39
8000018,华初壹通国际贸易有限公司,"Huachu Yitong International Trading Co., Ltd.",26364154.7,11157831.08
8000034,北京晶睿贸易发展有限公司,"Beijing Jingrui Trading Development Co., Ltd.",12631561.92,15306842.08
8000002,深圳有盈贸易有限公司,"Shenzhen Youying Trading Co., Ltd.",14324469.31,5256139.86
8000021,新疆莘三石商贸有限公司,"Xinjiang Xin Sanshi Trading Co., Ltd.",7328480.99,3338962
8000006,重庆渲格商贸有限公司,"Chongqing Xuan’ge Trading Co., Ltd.",16110727.85,7599791.97
8000121,星羽宏文（沈阳）商贸有限公司,"Xingyuhongwen (Shenyang) Trading Co., Ltd.",7448612.36,2730333.47
8000029,西安纳霁动力商贸有限公司,"Xi’an Najidongli Trading Co., Ltd.",12992006.62,8072069.91
8000270,南宁市菲诺电子科技有限公司,"Nanning Feinuo Electronic Technology Co., Ltd.",7649346.95,5300982.01
8000010,成都莱恒商贸有限公司,"Chengdu Laiheng Trading Co., Ltd.",4298654.55,1944026.63
8000026,武汉摩顶贸易有限公司,"Wuhan Moding Trading Co., Ltd.",15436189.75,14498146.48
8000005,厦门时韫商贸有限公司,"Xiamen Shiyun Trading Co., Ltd.",11134865.95,7197908.11
8000310,北京绮妙科技有限公司,"Beijing Qimiao Technology Co., Ltd.",2607073.32,2950424.93
8000004,厦门百轮服饰有限公司,"Xiamen Bailun Apparel Co., Ltd.",10424487.32,4993762.1
8000019,北京嘉尚国际时装有限公司,"Beijing Jiashang International Fashion Co., Ltd.",15512194.42,11238061.62
8000033,北京潮流贸易有限公司,"Beijing Trend Trading Co., Ltd.",1641733.44,1840404.2
8000385,云南恒磐商贸有限公司,"Yunnan Hengpan Trading Co., Ltd.",13827680.85,7979251.66
8000232,孚瑞达（沈阳）贸易有限公司,"Furida (Shenyang) Trading Co., Ltd.",241773.4,0
8000276,山西颖璇贸易有限公司,"Shanxi Yingxuan Trading Co., Ltd.",344461.5,0
8000237,丰晟（广州）品牌管理有限公司,"Fengsheng (Guangzhou) Brand Management Co., Ltd.",160705.3,0
8000421,乌鲁木齐雏鹰浩涵商贸有限公司,"Urumqi Chuying Haohan Trading Co., Ltd.",79462.84,133575
8000233,武汉顶尚贸易有限公司,"Wuhan Dingshang Trading Co., Ltd.",120160.9,0
8000059,杭州优溜网络技术有限公司,"Hangzhou Youliu Network Technology Co., Ltd.",237607.99,653395.78
8000155,北京蓝梦宇其贸易有限公司,"Beijing Lanmeng Yuqi Trading Co., Ltd.",580774.46,581656.24
8000189,万辰嘉运（北京）服饰有限公司,"Wanchen Jiayun (Beijing) Apparel Co., Ltd.",0,0
8000277,长春恩禾品牌管理有限公司,"Changchun Enhe Brand Management Co., Ltd.",-93106.02,0
8000280,江苏幸运叶子数字科技有限公司,"Jiangsu Lucky Leaf Digital Technology Co., Ltd.",131980,606224.03
8000014,依梵(上海)品牌管理有限公司,"Yifan (Shanghai) Brand Management Co., Ltd.",25149578.31,18870456.31
8000187,江苏苏豪国际集团股份有限公司,"Jiangsu Soho International Group Co., Ltd.",4201300.55,7888858.58
8100731,天津乐城置业有限公司,"Tianjin Lecheng Real Estate Co., Ltd.",0,196030.74
